"['Filename', 'BLEU Score LDA', 'BLEU Score Frequency', 'Calibration']"
economist5,0.40114658288971949,0.21296643055305892,0.21757852628865795
economist4,0.23596857817042333,0.063035537384008397,0.14014014657946647
economist7,0.41612262801592148,0.16964341119090373,0.23771568909336277
economist6,0.29461340939367459,0.12772457701059101,0.16265379559107945
economist1,0.48086654312223132,0.22805187068930133,0.18159786241971024
economist3,0.21237172035338095,0.026117744894227135,0.077696405878114078
economist2,0.23596857817042333,0.15732177770190622,0.20189526978251604
economist9,0.29293643234171673,0.20137363588082385,0.20848951093309337
economist8,0.42474344070676268,0.059660133406299352,0.17176798313067726
economist10,0.36968410580032951,0.17498741527103004,0.14125909460684236
