Filename,BLEU Score LDA,BLEU Score Frequency,Calibration
economist1,0.47193715634084743,0.47193715634084743,0.23242024587012278
economist2,0.2359685781704233,0.6504807644353158,0.2359685781704233
economist3,0.23596857817042327,0.30219877900242836,0.11072608056548894
economist4,0.23596857817042333,0.4434189446046468,0.23596857817042333
economist5,0.47193715634084665,0.3969613289089749,0.11509408621483103
economist6,0.2359685781704233,0.3052598350734063,0.2359685781704233
economist7,0.23596857817042285,0.4895171140439424,0.23596857817042285
economist8,0.4719371563408475,0.4288819424803537,0.13990608556087633
economist9,0.2806155120773438,0.2933117619455284,0.23596857817042372
economist10,0.3146247708938977,0.26012034909530585,0.0786561927234744
