Filename,BLEU Score LDA,BLEU Score Frequency,Calibration
economist5,0.47193715634084665,0.23596857817042285,0.20757516698634149
economist4,0.47193715634084665,0.23596857817042333,0.13478739063446338
economist7,0.47193715634084576,0.23596857817042285,0.23596857817042285
economist6,0.33370996354250876,0.33370996354250876,0.15723760339802831
economist1,0.56123102415468662,0.47193715634084743,0.059436634223162782
economist3,0.47193715634084665,0.11798428908521164,0.16379559651195677
economist2,0.2359685781704233,0.2359685781704233,0.13743596675031375
economist9,0.47193715634084665,0.23596857817042372,0.15587657473107694
economist8,0.47193715634084749,0.47193715634084749,0.15322086935876178
economist10,0.47193715634084626,0.31462477089389768,0.2359685781704231
