Filename,BLEU Score LDA,BLEU Score Frequency,Calibration
economist5,0.097163532187821283,0.069402522991300841,0.069402522991300841
economist4,0.06940252299130098,0.06940252299130098,0.046598944102391217
economist7,0.12975869395694517,0.069402522991300841,0.07127546067599573
economist6,0.092400496020026965,0.098149989277208458,0.0524554845121449
economist1,0.13880504598260218,0.13880504598260218,0.062677377796340528
economist3,0.069402522991301008,0.034701261495650483,0.041510206992609093
economist2,0.06940252299130098,0.06940252299130098,0.05429267794937561
economist9,0.10504240287727792,0.069402522991301091,0.070599120930471632
economist8,0.12492454138434199,0.13880504598260221,0.041196107442412457
economist11,0.080901509505664049,0.098149989277208555,0.030405138235820701
economist10,0.11599969068196389,0.092536697321734612,0.06089335003793616
economist13,0.069402522991301091,0.069402522991301091,0.03912988785832211
economist12,0.13880504598260207,0.13880504598260207,0.056576192591970602
economist15,0.13880504598260196,0.11567087165216826,0.038502726566181006
economist14,0.083283027589561062,0.069402522991300841,0.074243893672188199
economist17,0.06940252299130098,0.06940252299130098,0.037349760029079734
economist16,0.14718370868836519,0.079317169132915394,0.038841995534517192
